# UV luminosity at 1500 A for continuous SFR ; Z=0.01
# Source: Starburst99 — Leitherer et al. (1999) ; ApJS ; 123 ; 3
# DOI: 10.1086/313233
# Website: https://www.stsci.edu/science/starburst99/
# Columns: time_yr ; log_l1500 [erg/s/Hz] ; log_l1500_2 ; log_l1500_3
time_yr,log_l1500,log_l1500_2,log_l1500_3
59100000.0,40.459,39.888,40.355
59200000.0,40.459,39.888,40.355
59300000.0,40.459,39.888,40.355
59400000.0,40.459,39.889,40.355
59500000.0,40.459,39.889,40.356
59600000.0,40.459,39.889,40.356
59700000.0,40.459,39.89,40.356
59800000.0,40.46,39.89,40.356
59900000.0,40.46,39.89,40.356
60000000.0,40.46,39.891,40.356
60100000.0,40.46,39.891,40.357
60200000.0,40.46,39.891,40.357
60300000.0,40.46,39.892,40.357
60400000.0,40.46,39.892,40.357
60500000.0,40.46,39.892,40.357
60600000.0,40.461,39.893,40.357
60700000.0,40.461,39.893,40.358
60800000.0,40.461,39.893,40.358
60900000.0,40.461,39.894,40.358
61000000.0,40.461,39.894,40.358
61100000.0,40.461,39.894,40.358
61200000.0,40.461,39.894,40.358
61300000.0,40.461,39.895,40.359
61400000.0,40.461,39.895,40.359
61500000.0,40.462,39.895,40.359
61600000.0,40.462,39.896,40.359
61700000.0,40.462,39.896,40.359
61800000.0,40.462,39.896,40.359
61900000.0,40.462,39.897,40.36
62000000.0,40.462,39.897,40.36
62100000.0,40.462,39.897,40.36
62200000.0,40.462,39.898,40.36
62300000.0,40.462,39.898,40.36
62400000.0,40.463,39.898,40.36
62500000.0,40.463,39.898,40.361
62600000.0,40.463,39.899,40.361
62700000.0,40.463,39.899,40.361
62800000.0,40.463,39.899,40.361
62900000.0,40.463,39.9,40.361
63000000.0,40.463,39.9,40.361
63100000.0,40.463,39.9,40.362
63200000.0,40.463,39.901,40.362
63300000.0,40.464,39.901,40.362
63400000.0,40.464,39.901,40.362
63500000.0,40.464,39.901,40.362
63600000.0,40.464,39.902,40.362
63700000.0,40.464,39.902,40.363
63800000.0,40.464,39.902,40.363
63900000.0,40.464,39.903,40.363
64000000.0,40.464,39.903,40.363
64100000.0,40.464,39.903,40.363
64200000.0,40.465,39.903,40.363
64300000.0,40.465,39.904,40.363
64400000.0,40.465,39.904,40.364
64500000.0,40.465,39.904,40.364
64600000.0,40.465,39.905,40.364
64700000.0,40.465,39.905,40.364
64800000.0,40.465,39.905,40.364
64900000.0,40.465,39.906,40.364
65000000.0,40.465,39.906,40.365
65100000.0,40.465,39.906,40.365
65200000.0,40.466,39.906,40.365
65300000.0,40.466,39.907,40.365
65400000.0,40.466,39.907,40.365
65500000.0,40.466,39.907,40.365
65600000.0,40.466,39.908,40.365
65700000.0,40.466,39.908,40.366
65800000.0,40.466,39.908,40.366
65900000.0,40.466,39.908,40.366
66000000.0,40.466,39.909,40.366
66100000.0,40.467,39.909,40.366
66200000.0,40.467,39.909,40.366
66300000.0,40.467,39.909,40.367
66400000.0,40.467,39.91,40.367
66500000.0,40.467,39.91,40.367
66600000.0,40.467,39.91,40.367
66700000.0,40.467,39.911,40.367
66800000.0,40.467,39.911,40.367
66900000.0,40.467,39.911,40.367
67000000.0,40.467,39.911,40.368
67100000.0,40.468,39.912,40.368
67200000.0,40.468,39.912,40.368
67300000.0,40.468,39.912,40.368
67400000.0,40.468,39.912,40.368
67500000.0,40.468,39.913,40.368
67600000.0,40.468,39.913,40.368
67700000.0,40.468,39.913,40.369
67800000.0,40.468,39.914,40.369
67900000.0,40.468,39.914,40.369
68000000.0,40.468,39.914,40.369
68100000.0,40.468,39.914,40.369
68200000.0,40.469,39.915,40.369
68300000.0,40.469,39.915,40.369
68400000.0,40.469,39.915,40.37
68500000.0,40.469,39.915,40.37
68600000.0,40.469,39.916,40.37
68700000.0,40.469,39.916,40.37
68800000.0,40.469,39.916,40.37
68900000.0,40.469,39.916,40.37
69000000.0,40.469,39.917,40.37
69100000.0,40.469,39.917,40.37
69200000.0,40.47,39.917,40.371
69300000.0,40.47,39.918,40.371
69400000.0,40.47,39.918,40.371
69500000.0,40.47,39.918,40.371
69600000.0,40.47,39.918,40.371
69700000.0,40.47,39.919,40.371
69800000.0,40.47,39.919,40.371
69900000.0,40.47,39.919,40.372
70000000.0,40.47,39.919,40.372
70100000.0,40.47,39.92,40.372
70200000.0,40.47,39.92,40.372
70300000.0,40.471,39.92,40.372
70400000.0,40.471,39.92,40.372
70500000.0,40.471,39.921,40.372
70600000.0,40.471,39.921,40.373
70700000.0,40.471,39.921,40.373
70800000.0,40.471,39.921,40.373
70900000.0,40.471,39.922,40.373
71000000.0,40.471,39.922,40.373
71100000.0,40.471,39.922,40.373
71200000.0,40.471,39.922,40.373
71300000.0,40.471,39.923,40.373
71400000.0,40.472,39.923,40.374
71500000.0,40.472,39.923,40.374
71600000.0,40.472,39.923,40.374
71700000.0,40.472,39.924,40.374
