lambda,albedo,<cos>,C_ext/H,K_abs,<cos^2>
2.510e+01,3.000e-04,-2.160e-02,9.950e-24,7.120e+02,4.000e-01
2.450e+01,3.000e-04,-2.150e-02,1.040e-23,7.400e+02,4.000e-01
2.400e+01,3.000e-04,-2.150e-02,1.070e-23,7.680e+02,4.000e-01
2.370e+01,4.000e-04,-2.160e-02,1.100e-23,7.850e+02,4.000e-01
2.340e+01,4.000e-04,-2.170e-02,1.120e-23,7.980e+02,4.000e-01
2.290e+01,4.000e-04,-2.190e-02,1.160e-23,8.280e+02,4.000e-01
2.240e+01,4.000e-04,-2.210e-02,1.210e-23,8.630e+02,4.000e-01
2.190e+01,4.000e-04,-2.230e-02,1.260e-23,8.980e+02,4.000e-01
2.140e+01,4.000e-04,-2.250e-02,1.300e-23,9.320e+02,4.000e-01
2.090e+01,4.000e-04,-2.270e-02,1.360e-23,9.710e+02,4.000e-01
2.040e+01,5.000e-04,-2.280e-02,1.410e-23,1.010e+03,4.000e-01
2.000e+01,5.000e-04,-2.290e-02,1.480e-23,1.060e+03,4.000e-01
1.950e+01,5.000e-04,-2.300e-02,1.540e-23,1.100e+03,4.000e-01
1.910e+01,5.000e-04,-2.340e-02,1.590e-23,1.130e+03,4.000e-01
1.860e+01,6.000e-04,-2.390e-02,1.610e-23,1.150e+03,4.000e-01
1.820e+01,6.000e-04,-2.450e-02,1.610e-23,1.150e+03,4.000e-01
1.780e+01,7.000e-04,-2.510e-02,1.600e-23,1.140e+03,4.000e-01
1.740e+01,7.000e-04,-2.570e-02,1.560e-23,1.110e+03,4.000e-01
1.700e+01,8.000e-04,-2.630e-02,1.500e-23,1.070e+03,4.000e-01
1.660e+01,9.000e-04,-2.690e-02,1.430e-23,1.020e+03,3.999e-01
1.620e+01,1.000e-03,-2.740e-02,1.360e-23,9.710e+02,3.999e-01
1.580e+01,1.200e-03,-2.790e-02,1.290e-23,9.190e+02,3.999e-01
1.550e+01,1.400e-03,-2.830e-02,1.220e-23,8.690e+02,3.999e-01
